exam_id,exam_name,exam_category,organization,country,state,year,subject,topic,subtopic,difficulty,cognitive_level,question_type,question,options,correct_answer,explanation,marks,negative_marks,time_limit_seconds,language,source,tags,created_at,updated_at,question_hash
WBJEE_2026_0000001,WBJEE,Engineering,WBJEEB,India,West Bengal,2026,Operating Systems,Memory,Paging,Hard,Evaluate,MCQ,What is the value of 369 + 1147?,"['1519', '1524', '1513', '1516']",1516,Sum = 369 + 1147 = 1516.,4,1,90,English,Mock.AI Production Generator,"['wbjee', 'operating-systems', 'hard', 'mcq']",2026-05-01T05:44:55.638633+00:00,2026-05-01T05:44:55.638633+00:00,bcc959236570dbede558dace665860c0ebfeb314aba627f622a4b2396571fa14
RRB_GROUP_D_2026_0000001,RRB Group D,Railway,RRB,India,,2026,Geography,Indian Geography,Monsoon,Hard,Create,Assertion-Reason,कथन (A): रेपो रेट ऋण दरों को प्रभावित करती है। कारण (R): रेपो रेट वह दर है जिस पर RBI वाणिज्यिक बैंकों को उधार देता है।,"['A और R दोनों सही हैं और R, A की सही व्याख्या है', 'A और R दोनों सही हैं पर R, A की सही व्याख्या नहीं है', 'A सही है पर R गलत है', 'A गलत है पर R सही है']","A और R दोनों सही हैं और R, A की सही व्याख्या है",Repo rate is a policy signal that propagates to loan pricing.,4,1,90,Hindi,Mock.AI Production Generator,"['rrb-group-d', 'geography', 'hard', 'assertion-reason']",2026-05-01T05:44:55.638963+00:00,2026-05-01T05:44:55.638963+00:00,f1fc7cad164c4db9796d5e066f884c2ac63e9deb72bfb82c93274d8de3006886
CTET_2026_0000001,CTET,Teaching,CBSE,India,,2026,History,Medieval India,Delhi Sultanate,Medium,Understand,Diagram-based questions,Select the correct mirror image of the given figure.,"['Option A', 'Option B', 'Option C', 'Option D']",Option B,Option B correctly preserves mirrored orientation.,2,0.5,70,English,Mock.AI Production Generator,"['ctet', 'history', 'medium', 'diagram-based-questions']",2026-05-01T05:44:55.639033+00:00,2026-05-01T05:44:55.639033+00:00,0279608c2ba3d01134827c690342889f5d4aa49ad01e40586a0f08a1d7981e62
STATE_POLICE_DSP_2026_0000001,State Police DSP,Police,State PSC,India,Various,2026,English,Vocabulary,Synonyms,Medium,Analyze,Fill in the blanks,भारत की राजधानी ____ है।,[],नई दिल्ली,नई दिल्ली भारत की राजधानी है।,1,0,30,Hindi,Mock.AI Production Generator,"['state-police-dsp', 'english', 'medium', 'fill-in-the-blanks']",2026-05-01T05:44:55.639083+00:00,2026-05-01T05:44:55.639083+00:00,15e92325bc1df402cb265a4cac9d9db76ed6a9fe547511a91da722d5119ff200
NIC_2026_0000001,NIC,Insurance,NIC,India,,2026,Science,General Biology,Nutrition,Easy,Understand,Match the following,"Match: (A) CPU, (B) RAM, (C) HDD with (1) Storage, (2) Processing, (3) Temporary Memory.","['A-2, B-3, C-1', 'A-1, B-3, C-2', 'A-2, B-1, C-3', 'A-3, B-2, C-1']","A-2, B-3, C-1","CPU performs processing, RAM is temporary memory, HDD is storage.",2,0.5,80,English,Mock.AI Production Generator,"['nic', 'science', 'easy', 'match-the-following']",2026-05-01T05:44:55.639131+00:00,2026-05-01T05:44:55.639131+00:00,da1b7d969650f5ada8cc189c3697aa2699c98a99081cd49da0f0779b65840fb1
CTET_2026_0000002,CTET,Teaching,CBSE,India,,2026,General Knowledge,Indian Polity,Constitution,Medium,Analyze,Fill in the blanks,RBI भारत का ____ बैंक है।,[],केंद्रीय,RBI भारत का केंद्रीय बैंक है।,1,0,30,Hindi,Mock.AI Production Generator,"['ctet', 'general-knowledge', 'medium', 'fill-in-the-blanks']",2026-05-01T05:44:55.639174+00:00,2026-05-01T05:44:55.639174+00:00,8a56be4f31ebd757af7788c0484f1a8665af791882b735e15a680724e72274e8
CUET_2026_0000001,CUET,Entrance,NTA,India,,2026,Chemistry,Atomic Structure,Periodic Trends,Easy,Understand,Case study questions,"A bank report shows branch deposits (in crore): A=58, B=49, C=43. Which branch has the highest deposits?","['A', 'B', 'C']",A,"Maximum value is 58, so branch A is correct.",3,0.5,120,English,Mock.AI Production Generator,"['cuet', 'chemistry', 'easy', 'case-study-questions']",2026-05-01T05:44:55.639223+00:00,2026-05-01T05:44:55.639223+00:00,c64351c3b174827c000e9f7afdcf1f1468d135b10d166efcb2895d9130204f94
UGC_NET_2026_0000001,UGC NET,Teaching,NTA,India,,2026,Science,General Biology,Nutrition,Hard,Evaluate,Numerical problems,"यदि एक ट्रेन 3811 किमी दूरी 100 घंटे में तय करती है, तो उसकी गति क्या होगी?",[],38.11 km/h,गति = दूरी/समय = 3811/100 = 38.11 किमी/घंटा।,4,1,120,Hindi,Mock.AI Production Generator,"['ugc-net', 'science', 'hard', 'numerical-problems']",2026-05-01T05:44:55.639273+00:00,2026-05-01T05:44:55.639273+00:00,b12c11c761c038f059ea38fb39fe1b3b246f6aa4121b26242be016d5210969b0
MPPSC_2026_0000001,MPPSC,State Government,MPPSC,India,Madhya Pradesh,2026,Computer Networks,TCP/IP,Protocols,Easy,Apply,True/False,Water boils at 100 C at sea level.,"['True', 'False']",True,Standard boiling point at 1 atm is 100 C.,1,0,25,English,Mock.AI Production Generator,"['mppsc', 'computer-networks', 'easy', 'true/false']",2026-05-01T05:44:55.639316+00:00,2026-05-01T05:44:55.639316+00:00,11fe806d841082ed6cd7803893213becfe66c5c4d0a585d046af01fa4c0acce5
AIIMS_2026_0000001,AIIMS,Medical,AIIMS,India,,2026,General Knowledge,Indian Polity,Constitution,Easy,Remember,Diagram-based questions,दिए गए चित्र की सही दर्पण छवि चुनिए।,"['Option A', 'Option B', 'Option C', 'Option D']",Option B,Option B correctly preserves mirrored orientation.,2,0.5,70,Hindi,Mock.AI Production Generator,"['aiims', 'general-knowledge', 'easy', 'diagram-based-questions']",2026-05-01T05:44:55.639356+00:00,2026-05-01T05:44:55.639356+00:00,87f0148bda5505317fc21a6c6cc0977bda37e12cb0d3f3bab1b4cdd256819280
